名称,代码,口径,日期,开盘,最高,最低,收盘,供应商涨跌额,供应商涨跌幅_pct,复算涨跌额,复算涨跌幅_pct,涨跌幅复算差异_bp,年初至今涨跌幅_pct,成交量,成交额,振幅_pct,换手率_pct,数据源
创业板指,399006.SZ,官方指数,2026-01-14,3333.17,3403.95,3308.63,3349.14,27.25,0.82,27.25,0.8203161453269159,0.03161453269159287,4.557048174152478,457478907.0,1165157052172.91,2.87,8.18,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-01-14,1479.3,1532.58,1479.3,1500.91,31.34,2.13,31.340000000000146,2.1325966098926896,0.25966098926897274,11.658235381639637,17779745.0,123880673547.0,3.63,2.54,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-01-15,5134.41,5239.34,5105.65,5239.34,35.82,0.69,35.81999999999971,0.6883801734210548,-0.1619826578945105,4.655561925345619,21016728.0,139956806070.0,2.57,2.64,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-15,3318.11,3372.47,3309.06,3367.92,18.78,0.56,18.7800000000002,0.560740966337625,0.07409663376249931,5.143342376458326,320578479.0,849713484169.71,1.89,5.73,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-01-15,1491.23,1504.84,1468.02,1493.95,-6.96,-0.46,-6.960000000000036,-0.463718677335756,-0.3718677335755982,11.140455289391449,14088173.0,95846397716.0,2.45,2.01,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-01-16,5294.39,5393.05,5292.04,5360.34,121.0,2.31,121.0,2.309451190417122,-0.054880958287784054,7.07253104606822,28623866.0,164351946921.0,1.93,3.59,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-16,3394.35,3407.86,3354.65,3361.02,-6.9,-0.2,-6.900000000000091,-0.20487422504097408,-0.48742250409740673,4.927930768582378,312079464.0,846356149931.99,1.58,5.58,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-01-16,1509.7,1528.78,1495.68,1514.07,20.12,1.35,20.11999999999989,1.346765286656182,-0.32347133438181963,12.637256360660597,16765776.0,116789712149.0,2.22,2.39,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-01-19,5327.69,5367.36,5272.39,5295.22,-65.12,-1.21,-65.11999999999989,-1.2148483118608167,-0.484831186081669,5.771762210188425,26520998.0,138554171292.0,1.77,3.33,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-19,3340.94,3383.79,3326.13,3337.61,-23.41,-0.7,-23.409999999999854,-0.6965147484989664,0.3485251501033515,4.197092255484414,266213496.0,715063522775.42,1.72,4.76,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-01-19,1513.59,1525.12,1502.72,1506.86,-7.21,-0.48,-7.210000000000036,-0.47619991149683294,0.3800088503167043,12.100877845558689,12876257.0,93307391548.0,1.48,1.84,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-01-20,5278.89,5295.32,5086.56,5131.79,-163.43,-3.09,-163.4300000000003,-3.086368460611655,0.363153938834504,2.507255901100014,24678149.0,132330236424.0,3.94,3.1,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-20,3340.46,3347.94,3257.44,3277.98,-59.63,-1.79,-59.63000000000011,-1.7866077822154214,0.3392217784578655,2.335498896405741,271654065.0,709272948430.77,2.71,4.86,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-01-20,1508.37,1525.81,1473.19,1482.99,-23.87,-1.58,-23.86999999999989,-1.5840887673705506,-0.4088767370550528,10.325100431483403,14030658.0,97763534671.0,3.49,2.0,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-01-21,5090.13,5337.04,5090.13,5318.66,186.87,3.64,186.8699999999999,3.641419465722495,0.14194657224950724,6.239975071260617,22802800.0,123780536884.0,4.81,2.86,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-21,3270.13,3329.5,3270.13,3295.52,17.54,0.54,17.539999999999964,0.5350856320050834,-0.4914367994916624,2.883081447441116,239488784.0,656117027993.19,1.81,4.28,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-01-21,1482.66,1546.05,1482.66,1535.39,52.4,3.53,52.40000000000009,3.533402113298134,0.3402113298134335,14.223329861627732,14447414.0,117311199390.0,4.27,2.06,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-01-22,5362.94,5396.95,5312.14,5396.95,78.29,1.47,78.28999999999996,1.4719873050730747,0.19873050730747632,7.803814017222388,30228995.0,157668541692.0,1.59,3.79,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-22,3312.75,3337.27,3280.32,3328.65,33.13,1.01,33.13000000000011,1.0053041705102794,-0.4695829489720582,3.9173693559817258,244048571.0,686175753499.66,1.73,4.36,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-01-22,1563.38,1574.97,1530.25,1541.64,6.25,0.41,6.25,0.40706270068191497,-0.2937299318085007,14.688290432971286,15212194.0,114471734613.0,2.91,2.17,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-01-23,5396.81,5398.33,5346.01,5386.98,-9.97,-0.18,-9.970000000000255,-0.18473397011274928,-0.4733970112749286,7.604663751655405,28636259.0,148929986777.0,0.97,3.59,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-23,3334.02,3349.5,3316.65,3349.5,20.85,0.63,20.84999999999991,0.6263800639898953,-0.3619936010104685,4.568287040650354,304128627.0,822626759653.5,0.99,5.44,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-01-23,1530.28,1553.71,1523.5,1553.71,12.07,0.78,12.069999999999936,0.782932461534469,0.2932461534469022,15.586222288349937,21244687.0,110767211554.0,1.96,3.03,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-01-26,5380.22,5444.51,5351.27,5377.92,-9.06,-0.17,-9.05999999999949,-0.16818328636822866,0.1816713631771355,7.423690691872387,26291021.0,130062523970.0,1.73,3.3,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-26,3365.61,3367.99,3304.36,3319.15,-30.35,-0.91,-30.34999999999991,-0.9061053888640092,0.38946111359908775,3.6207881567322353,326114075.0,845211177604.5,1.9,5.83,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-01-26,1556.57,1575.45,1529.32,1532.8,-20.91,-1.35,-20.910000000000082,-1.3458109943297103,0.41890056702897915,14.03065020086296,21231612.0,108916689901.0,2.97,3.03,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-01-27,5350.46,5513.89,5253.22,5496.55,118.63,2.21,118.63000000000011,2.205871414970839,-0.4128585029160803,9.793319177751103,26491613.0,147732300713.0,4.85,3.32,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-27,3316.02,3366.68,3277.26,3342.6,23.45,0.71,23.449999999999818,0.7065061838121167,-0.34938161878832474,4.352875432774406,275879502.0,750371809751.3,2.69,4.93,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-01-27,1530.07,1562.58,1507.41,1555.98,23.18,1.51,23.180000000000064,1.5122651356993755,0.22651356993754757,15.755095967861932,19787281.0,102142695465.0,3.6,2.82,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-01-28,5594.72,5627.66,5472.23,5538.2,41.65,0.76,41.649999999999636,0.7577480419535876,-0.22519580464124278,10.625275904016341,28730098.0,157737082321.0,2.83,3.61,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-28,3359.79,3361.14,3301.05,3323.56,-19.04,-0.57,-19.039999999999964,-0.5696164662238989,0.038353377610100825,3.758464271331219,267660982.0,749318476667.32,1.8,4.78,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-01-28,1566.19,1569.44,1535.9,1554.8,-1.18,-0.08,-1.1800000000000637,-0.07583645033998332,0.41635496600166827,15.667311411992246,15543610.0,104613183531.0,2.16,2.22,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-01-29,5504.22,5595.46,5416.03,5426.6,-111.6,-2.02,-111.59999999999945,-2.015095157271307,0.49048427286928487,8.396071326556488,24716068.0,137328120988.0,3.24,3.1,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-29,3322.48,3356.48,3298.59,3304.51,-19.05,-0.57,-19.049999999999727,-0.5731805654177968,-0.3180565417796877,3.1637409191519694,304722689.0,795630015291.54,1.74,5.45,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-01-29,1550.99,1560.64,1507.3,1507.64,-47.16,-3.03,-47.159999999999854,-3.0331875482377035,-0.318754823770373,12.15890492486238,16408344.0,98586261532.0,3.43,2.34,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-01-30,5387.98,5710.54,5352.72,5670.61,244.01,4.5,244.0099999999993,4.496554011720022,-0.3445988279977996,13.270159220337675,26119710.0,166422755335.0,6.59,3.28,https://push2his.eastmoney.com/api/qt/stock/kline/get
